competencia;municipio;secao;admissoes;desligamentos;saldomovimentacao
202001;350010;A;3;13;-10
202001;350010;C;69;21;48
202001;350010;D;1;0;1
202001;350010;E;0;1;-1
202001;350010;F;11;5;6
202001;350010;G;83;102;-19
202001;350010;H;9;7;2
202001;350010;I;9;21;-12
202001;350010;J;6;0;6
202001;350010;K;2;3;-1
202001;350010;M;1;4;-3
202001;350010;N;14;60;-46
202001;350010;O;17;12;5
202001;350010;P;8;9;-1
202001;350010;Q;19;11;8
202001;350010;R;1;0;1
202001;350010;S;32;21;11
202001;350020;A;2;10;-8
202001;350020;C;2;0;2
202001;350020;G;3;1;2
202001;350020;H;1;0;1
202001;350020;N;0;1;-1
202001;350020;O;0;37;-37
202001;350030;A;38;78;-40
202001;350030;B;1;2;-1
202001;350030;C;36;40;-4
202001;350030;E;5;0;5
202001;350030;F;1;3;-2
202001;350030;G;64;53;11
202001;350030;H;14;14;0
202001;350030;I;6;5;1
202001;350030;J;5;0;5
202001;350030;M;2;4;-2
202001;350030;N;24;11;13
202001;350030;O;52;13;39
202001;350030;P;1;7;-6
202001;350030;Q;0;1;-1
202001;350030;S;3;5;-2
202001;350040;A;24;5;19
202001;350040;C;5;5;0
202001;350040;F;4;4;0
202001;350040;G;7;9;-2
202001;350040;I;8;9;-1
202001;350040;M;0;1;-1
202001;350040;Q;4;3;1
202001;350040;S;2;2;0
202001;350050;A;1;0;1
202001;350050;C;18;18;0
202001;350050;F;2;1;1
202001;350050;G;40;23;17
202001;350050;H;0;1;-1
202001;350050;I;36;47;-11
202001;350050;J;1;0;1
202001;350050;K;1;0;1
202001;350050;M;1;5;-4
202001;350050;N;15;21;-6
202001;350050;O;3;8;-5
202001;350050;P;2;0;2
202001;350050;Q;4;4;0
202001;350050;R;1;6;-5
202001;350050;S;0;4;-4
202001;350055;A;41;49;-8
202001;350055;C;1;0;1
202001;350055;F;0;3;-3
202001;350055;G;5;5;0
202001;350055;H;2;0;2
202001;350055;I;3;4;-1
202001;350055;L;1;2;-1
202001;350060;C;1;2;-1
202001;350060;F;4;20;-16
202001;350060;G;7;7;0
202001;350060;I;5;5;0
202001;350060;O;1;0;1
202001;350060;P;7;7;0
202001;350060;S;3;3;0
202001;350070;A;11;30;-19
202001;350070;C;56;47;9
202001;350070;E;1;2;-1
202001;350070;F;60;51;9
202001;350070;G;62;53;9
202001;350070;H;25;16;9
202001;350070;I;9;14;-5
202001;350070;M;4;5;-1
202001;350070;N;16;43;-27
202001;350070;P;22;8;14
202001;350070;Q;10;9;1
202001;350070;R;1;2;-1
202001;350070;S;11;14;-3
202001;350075;A;1;2;-1
202001;350075;B;0;1;-1
202001;350075;C;18;9;9
202001;350075;G;3;2;1
202001;350075;I;1;1;0
202001;350075;J;0;1;-1
202001;350075;M;1;0;1
202001;350075;R;1;0;1
202001;350080;C;7;3;4
202001;350080;F;4;1;3
202001;350080;G;0;2;-2
202001;350080;K;2;1;1
202001;350080;N;5;0;5
202001;350090;A;7;10;-3
202001;350090;G;0;6;-6
202001;350090;O;6;7;-1
202001;350100;A;35;46;-11
202001;350100;C;1;2;-1
202001;350100;E;1;0;1
202001;350100;F;0;2;-2
202001;350100;G;23;31;-8
202001;350100;H;5;5;0
202001;350100;I;7;1;6
202001;350100;J;0;2;-2
202001;350100;L;1;0;1
202001;350100;M;1;0;1
202001;350100;N;4;1;3
202001;350100;O;40;1;39
202001;350100;P;0;5;-5
202001;350100;Q;0;1;-1
202001;350100;S;5;6;-1
202001;350110;A;1;3;-2
202001;350110;G;6;1;5
202001;350110;O;1;0;1
202001;350115;C;146;35;111
202001;350115;D;2;0;2
202001;350115;F;11;22;-11
202001;350115;G;12;18;-6
202001;350115;H;2;2;0
202001;350115;I;3;4;-1
202001;350115;K;1;0;1
202001;350115;P;5;0;5
202001;350115;S;0;1;-1
202001;350120;A;0;3;-3
202001;350120;C;2;2;0
202001;350120;G;1;2;-1
202001;350120;M;1;0;1
202001;350130;A;2;4;-2
202001;350130;C;9;8;1
202001;350130;D;1;0;1
202001;350130;E;1;2;-1
202001;350130;F;7;16;-9
202001;350130;G;27;25;2
202001;350130;H;0;3;-3
202001;350130;I;7;13;-6
202001;350130;K;2;1;1
202001;350130;M;0;1;-1
202001;350130;N;1;2;-1
202001;350130;O;5;7;-2
202001;350130;P;5;3;2
202001;350130;Q;6;5;1
202001;350130;S;1;1;0
202001;350140;A;2;1;1
202001;350140;G;1;1;0
202001;350140;S;0;1;-1
202001;350150;A;0;3;-3
202001;350150;C;0;1;-1
202001;350150;F;1;2;-1
202001;350150;G;2;0;2
202001;350160;A;7;13;-6
202001;350160;B;0;1;-1
202001;350160;C;931;824;107
202001;350160;D;2;2;0
202001;350160;E;6;16;-10
202001;350160;F;172;110;62
202001;350160;G;554;655;-101
202001;350160;H;75;91;-16
202001;350160;I;174;205;-31
202001;350160;J;79;71;8
202001;350160;K;20;15;5
202001;350160;L;14;11;3
202001;350160;M;112;86;26
202001;350160;N;255;262;-7
202001;350160;O;0;5;-5
202001;350160;P;158;68;90
202001;350160;Q;81;112;-31
202001;350160;R;13;10;3
202001;350160;S;52;47;5
202001;350170;A;3;6;-3
202001;350170;C;90;47;43
202001;350170;F;216;83;133
202001;350170;G;37;33;4
202001;350170;H;55;40;15
202001;350170;I;5;8;-3
202001;350170;J;11;2;9
202001;350170;L;0;1;-1
202001;350170;M;2;5;-3
202001;350170;N;0;1;-1
202001;350170;O;2;2;0
202001;350170;P;4;3;1
202001;350170;Q;12;6;6
202001;350170;S;17;8;9
202001;350180;A;5;11;-6
202001;350180;C;0;2;-2
202001;350180;G;2;2;0
202001;350180;H;1;0;1
202001;350180;I;0;1;-1
202001;350180;M;0;1;-1
202001;350190;A;42;30;12
202001;350190;B;2;2;0
202001;350190;C;214;206;8
202001;350190;E;0;2;-2
202001;350190;F;25;28;-3
202001;350190;G;126;173;-47
202001;350190;H;22;32;-10
202001;350190;I;37;32;5
202001;350190;J;0;5;-5
202001;350190;K;2;7;-5
202001;350190;L;1;2;-1
202001;350190;M;17;6;11
202001;350190;N;18;16;2
202001;350190;O;12;9;3
202001;350190;P;27;11;16
202001;350190;Q;24;22;2
202001;350190;R;8;10;-2
202001;350190;S;38;11;27
202001;350200;A;3;8;-5
202001;350200;B;4;1;3
202001;350200;C;3;2;1
202001;350200;G;0;5;-5
202001;350200;H;2;2;0
202001;350200;I;0;1;-1
202001;350200;L;1;0;1
202001;350200;O;3;2;1
202001;350200;R;0;1;-1
202001;350200;S;1;0;1
202001;350210;A;44;19;25
202001;350210;B;0;2;-2
202001;350210;C;65;73;-8
202001;350210;D;0;3;-3
202001;350210;E;6;33;-27
202001;350210;F;88;24;64
202001;350210;G;125;159;-34
202001;350210;H;15;25;-10
202001;350210;I;33;26;7
202001;350210;J;9;10;-1
202001;350210;K;3;3;0
202001;350210;L;1;3;-2
202001;350210;M;10;3;7
202001;350210;N;83;17;66
202001;350210;O;1;0;1
202001;350210;P;6;14;-8
202001;350210;Q;16;15;1
202001;350210;R;6;3;3
202001;350210;S;9;10;-1
202001;350220;A;37;21;16
202001;350220;B;1;1;0
202001;350220;C;5;17;-12
202001;350220;F;2;15;-13
202001;350220;G;34;58;-24
202001;350220;H;2;2;0
202001;350220;I;3;4;-1
202001;350220;J;1;2;-1
202001;350220;K;0;1;-1
202001;350220;L;2;0;2
202001;350220;M;6;5;1
202001;350220;N;1;3;-2
202001;350220;O;8;8;0
202001;350220;P;2;1;1
202001;350220;Q;0;1;-1
202001;350220;S;0;3;-3
202001;350230;A;27;81;-54
202001;350230;C;1;2;-1
202001;350230;G;5;7;-2
202001;350230;H;1;0;1
202001;350230;S;0;1;-1
202001;350240;C;1;0;1
202001;350240;F;0;2;-2
202001;350240;G;2;0;2
202001;350240;I;1;1;0
202001;350250;A;2;6;-4
202001;350250;B;1;0;1
202001;350250;C;20;16;4
202001;350250;F;3;1;2
202001;350250;G;81;100;-19
202001;350250;H;2;9;-7
202001;350250;I;99;143;-44
202001;350250;J;10;16;-6
202001;350250;L;1;0;1
202001;350250;M;4;0;4
202001;350250;N;7;7;0
202001;350250;P;1;4;-3
202001;350250;Q;10;7;3
202001;350250;R;1;0;1
202001;350250;S;28;40;-12
202001;350260;A;1;4;-3
202001;350260;C;6;6;0
202001;350260;G;1;3;-2
202001;350260;I;1;0;1
202001;350260;J;0;2;-2
202001;350270;A;100;48;52
202001;350270;C;33;20;13
202001;350270;F;25;13;12
202001;350270;G;32;42;-10
202001;350270;H;2;4;-2
202001;350270;I;3;0;3
202001;350270;J;2;1;1
202001;350270;K;0;1;-1
202001;350270;M;4;0;4
202001;350270;N;0;1;-1
